match,home_team,away_team,player_name,player_team,opposition_team,line,over_price,over_liquidity,market_name,under_price,under_liquidity,agency
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Isaiah Dudley,Fremantle Dockers,Brisbane Lions,1.5,2.482,135.41,Player Goals,NA,NA,Betfair
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Cam Rayner,Brisbane Lions,Fremantle Dockers,1.5,3.1374999999999997,134.47,Player Goals,1.266,154.68,Betfair
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Jye Amiss,Fremantle Dockers,Brisbane Lions,1.5,1.5795,335.96,Player Goals,NA,NA,Betfair
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Patrick Voss,Fremantle Dockers,Brisbane Lions,1.5,1.741,271.4,Player Goals,NA,NA,Betfair
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Charlie Cameron,Brisbane Lions,Fremantle Dockers,1.5,1.5225,106.3,Player Goals,2.178,404.94,Betfair
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Logan Morris,Brisbane Lions,Fremantle Dockers,1.5,1.5034999999999998,379.6,Player Goals,2.349,702.48,Betfair
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Luke Jackson,Fremantle Dockers,Brisbane Lions,1.5,2.482,172.18,Player Goals,NA,NA,Betfair
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Shai Bolton,Fremantle Dockers,Brisbane Lions,1.5,2.482,209.99,Player Goals,NA,NA,Betfair
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Oscar Allen,Brisbane Lions,Fremantle Dockers,1.5,2.121,101.07,Player Goals,NA,NA,Betfair
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Zac Bailey,Brisbane Lions,Fremantle Dockers,1.5,2.577,129.99,Player Goals,1.38,118.81,Betfair
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Kai Lohmann,Brisbane Lions,Fremantle Dockers,1.5,1.646,233.7,Player Goals,1.8739999999999999,43.29,Betfair
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Josh Treacy,Fremantle Dockers,Brisbane Lions,1.5,1.589,166.65,Player Goals,NA,NA,Betfair
